trace_id	source_kind	source_ref	requirement_id	capability_id	classification	implementation_target	verification_test_ids	p7_task_ids	p6_handoff	gate_status
P5-X0087	TEST_CONTRACT	04:P5-V011	P5-T-C009-NOLOCAL	P5-C009	PUBLIC_ONLY	public-only source route API storage i18n bundle and package edges are unreachable from local build	P5-T-C009-NOLOCAL	P7-PUBLIC-RUNTIME;P7-SHARED-OPEN	P6-VERIFY-LOCAL_NEGATIVE_BUNDLE	MAPPED_TO_P7
P5-X0088	TEST_CONTRACT	04:P5-V012	P5-T-C010-SHARED	P5-C010	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C010-SHARED	P7-SHARED-OPEN	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0089	TEST_CONTRACT	04:P5-V013	P5-T-C011-SHARED	P5-C011	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C011-SHARED	P7-SHARED-OPEN	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0090	TEST_CONTRACT	04:P5-V014	P5-T-C012-PUBLIC	P5-C012	PUBLIC_ONLY	public adapter owns only the delta and calls shared interfaces	P5-T-C012-PUBLIC	P7-PUBLIC-RUNTIME	P6-VERIFY-PUBLIC_VARIANT	MAPPED_TO_P7
P5-X0091	TEST_CONTRACT	04:P5-V015	P5-T-C012-NOLOCAL	P5-C012	PUBLIC_ONLY	public-only source route API storage i18n bundle and package edges are unreachable from local build	P5-T-C012-NOLOCAL	P7-PUBLIC-RUNTIME	P6-VERIFY-LOCAL_NEGATIVE_BUNDLE	MAPPED_TO_P7
P5-X0092	TEST_CONTRACT	04:P5-V016	P5-T-C013-SHARED	P5-C013	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C013-SHARED	P7-SHARED-OPEN;P7-SHARED-QUERY	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0093	TEST_CONTRACT	04:P5-V017	P5-T-C014-SHARED	P5-C014	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C014-SHARED	P7-SHARED-QUERY	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0094	TEST_CONTRACT	04:P5-V018	P5-T-C015-SHARED	P5-C015	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C015-SHARED	P7-SHARED-QUERY;P7-SHARED-UI	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0095	TEST_CONTRACT	04:P5-V019	P5-T-C016-SHARED	P5-C016	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C016-SHARED	P7-SHARED-QUERY;P7-SHARED-UI	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0096	TEST_CONTRACT	04:P5-V020	P5-T-C017-SHARED	P5-C017	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C017-SHARED	P7-SHARED-QUERY;P7-SHARED-UI	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0097	TEST_CONTRACT	04:P5-V021	P5-T-C018-SHARED	P5-C018	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C018-SHARED	P7-SHARED-QUERY;P7-SHARED-UI	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0098	TEST_CONTRACT	04:P5-V022	P5-T-C019-SHARED	P5-C019	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C019-SHARED	P7-SHARED-QUERY;P7-SHARED-UI	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0099	TEST_CONTRACT	04:P5-V023	P5-T-C020-SHARED	P5-C020	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C020-SHARED	P7-SHARED-QUERY;P7-SHARED-UI	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0100	TEST_CONTRACT	04:P5-V024	P5-T-C021-SHARED	P5-C021	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C021-SHARED	P7-SHARED-QUERY;P7-SHARED-UI	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0101	TEST_CONTRACT	04:P5-V025	P5-T-C022-SHARED	P5-C022	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C022-SHARED	P7-SHARED-QUERY;P7-SHARED-UI	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0102	TEST_CONTRACT	04:P5-V026	P5-T-C023-SHARED	P5-C023	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C023-SHARED	P7-SHARED-QUERY;P7-SHARED-UI	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0103	TEST_CONTRACT	04:P5-V027	P5-T-C024-SHARED	P5-C024	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C024-SHARED	P7-SHARED-QUERY;P7-SHARED-UI	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0104	TEST_CONTRACT	04:P5-V028	P5-T-C025-SHARED	P5-C025	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C025-SHARED	P7-SHARED-QUERY;P7-SHARED-UI	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0105	TEST_CONTRACT	04:P5-V029	P5-T-C026-SHARED	P5-C026	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C026-SHARED	P7-SHARED-QUERY;P7-SHARED-UI	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0106	TEST_CONTRACT	04:P5-V030	P5-T-C027-SHARED	P5-C027	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C027-SHARED	P7-SHARED-QUERY;P7-SHARED-OPEN;P7-SHARED-UI	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0107	TEST_CONTRACT	04:P5-V031	P5-T-C028-SHARED	P5-C028	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C028-SHARED	P7-SHARED-CATALOG;P7-SHARED-QUERY;P7-SHARED-UI	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0108	TEST_CONTRACT	04:P5-V032	P5-T-C029-SHARED	P5-C029	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C029-SHARED	P7-SHARED-CATALOG;P7-SHARED-QUERY;P7-SHARED-UI	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0109	TEST_CONTRACT	04:P5-V033	P5-T-C030-SHARED	P5-C030	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C030-SHARED	P7-SHARED-QUERY;P7-SHARED-UI	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0110	TEST_CONTRACT	04:P5-V034	P5-T-C031-SHARED	P5-C031	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C031-SHARED	P7-SHARED-QUERY;P7-SHARED-UI	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0111	TEST_CONTRACT	04:P5-V035	P5-T-C032-SHARED	P5-C032	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C032-SHARED	P7-SHARED-QUERY;P7-SHARED-UI	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0112	TEST_CONTRACT	04:P5-V036	P5-T-C033-SHARED	P5-C033	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C033-SHARED	P7-SHARED-QUERY;P7-SHARED-UI	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0113	TEST_CONTRACT	04:P5-V037	P5-T-C034-SHARED	P5-C034	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C034-SHARED	P7-SHARED-QUERY;P7-SHARED-UI	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0114	TEST_CONTRACT	04:P5-V038	P5-T-C035-SHARED	P5-C035	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C035-SHARED	P7-SHARED-QUERY;P7-SHARED-UI	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0115	TEST_CONTRACT	04:P5-V039	P5-T-C036-SHARED	P5-C036	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C036-SHARED	P7-SHARED-QUERY;P7-SHARED-UI	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0116	TEST_CONTRACT	04:P5-V040	P5-T-C037-SHARED	P5-C037	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C037-SHARED	P7-SHARED-UI;P7-SHARED-QUERY	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0117	TEST_CONTRACT	04:P5-V041	P5-T-C038-SHARED	P5-C038	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C038-SHARED	P7-SHARED-UI;P7-SHARED-QUERY	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0118	TEST_CONTRACT	04:P5-V042	P5-T-C039-PUBLIC	P5-C039	PUBLIC_ONLY	public adapter owns only the delta and calls shared interfaces	P5-T-C039-PUBLIC	P7-PUBLIC-SESSION;P7-SHARED-WATCH	P6-VERIFY-PUBLIC_VARIANT	MAPPED_TO_P7
P5-X0119	TEST_CONTRACT	04:P5-V043	P5-T-C039-NOLOCAL	P5-C039	PUBLIC_ONLY	public-only source route API storage i18n bundle and package edges are unreachable from local build	P5-T-C039-NOLOCAL	P7-PUBLIC-SESSION;P7-SHARED-WATCH	P6-VERIFY-LOCAL_NEGATIVE_BUNDLE	MAPPED_TO_P7
P5-X0120	TEST_CONTRACT	04:P5-V044	P5-T-C040-SHARED	P5-C040	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C040-SHARED	P7-SHARED-WATCH	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0121	TEST_CONTRACT	04:P5-V045	P5-T-C041-SHARED	P5-C041	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C041-SHARED	P7-SHARED-WATCH;P7-PUBLIC-RUNTIME	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0122	TEST_CONTRACT	04:P5-V046	P5-T-C042-SHARED	P5-C042	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C042-SHARED	P7-SHARED-WATCH;P7-SHARED-UI	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0123	TEST_CONTRACT	04:P5-V047	P5-T-C043-SHARED	P5-C043	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C043-SHARED	P7-SHARED-UI;P7-SHARED-WATCH	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0124	TEST_CONTRACT	04:P5-V048	P5-T-C044-SHARED	P5-C044	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C044-SHARED	P7-SHARED-UI;P7-SHARED-WATCH	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0125	TEST_CONTRACT	04:P5-V049	P5-T-C045-SHARED	P5-C045	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C045-SHARED	P7-SHARED-UI;P7-SHARED-WATCH	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0126	TEST_CONTRACT	04:P5-V050	P5-T-C046-SHARED	P5-C046	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C046-SHARED	P7-SHARED-UI	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0127	TEST_CONTRACT	04:P5-V051	P5-T-C047-PUBLIC	P5-C047	PUBLIC_ONLY	public adapter owns only the delta and calls shared interfaces	P5-T-C047-PUBLIC	P7-PUBLIC-SESSION;P7-SHARED-UI	P6-VERIFY-PUBLIC_VARIANT	MAPPED_TO_P7
P5-X0128	TEST_CONTRACT	04:P5-V052	P5-T-C047-NOLOCAL	P5-C047	PUBLIC_ONLY	public-only source route API storage i18n bundle and package edges are unreachable from local build	P5-T-C047-NOLOCAL	P7-PUBLIC-SESSION;P7-SHARED-UI	P6-VERIFY-LOCAL_NEGATIVE_BUNDLE	MAPPED_TO_P7
P5-X0129	TEST_CONTRACT	04:P5-V053	P5-T-C048-SHARED	P5-C048	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C048-SHARED	P7-SHARED-I18N;P7-SHARED-UI	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0130	TEST_CONTRACT	04:P5-V054	P5-T-C049-PUBLIC	P5-C049	PUBLIC_ONLY	public adapter owns only the delta and calls shared interfaces	P5-T-C049-PUBLIC	P7-PUBLIC-SESSION;P7-SHARED-I18N	P6-VERIFY-PUBLIC_VARIANT	MAPPED_TO_P7
P5-X0131	TEST_CONTRACT	04:P5-V055	P5-T-C049-NOLOCAL	P5-C049	PUBLIC_ONLY	public-only source route API storage i18n bundle and package edges are unreachable from local build	P5-T-C049-NOLOCAL	P7-PUBLIC-SESSION;P7-SHARED-I18N	P6-VERIFY-LOCAL_NEGATIVE_BUNDLE	MAPPED_TO_P7
P5-X0132	TEST_CONTRACT	04:P5-V056	P5-T-C050-PUBLIC	P5-C050	PUBLIC_ONLY	public adapter owns only the delta and calls shared interfaces	P5-T-C050-PUBLIC	P7-PUBLIC-SESSION;P7-SHARED-UI	P6-VERIFY-PUBLIC_VARIANT	MAPPED_TO_P7
P5-X0133	TEST_CONTRACT	04:P5-V057	P5-T-C050-NOLOCAL	P5-C050	PUBLIC_ONLY	public-only source route API storage i18n bundle and package edges are unreachable from local build	P5-T-C050-NOLOCAL	P7-PUBLIC-SESSION;P7-SHARED-UI	P6-VERIFY-LOCAL_NEGATIVE_BUNDLE	MAPPED_TO_P7
P5-X0134	TEST_CONTRACT	04:P5-V058	P5-T-C051-PUBLIC	P5-C051	PUBLIC_ONLY	public adapter owns only the delta and calls shared interfaces	P5-T-C051-PUBLIC	P7-PUBLIC-SESSION;P7-PUBLIC-RUNTIME	P6-VERIFY-PUBLIC_VARIANT	MAPPED_TO_P7
P5-X0135	TEST_CONTRACT	04:P5-V059	P5-T-C051-NOLOCAL	P5-C051	PUBLIC_ONLY	public-only source route API storage i18n bundle and package edges are unreachable from local build	P5-T-C051-NOLOCAL	P7-PUBLIC-SESSION;P7-PUBLIC-RUNTIME	P6-VERIFY-LOCAL_NEGATIVE_BUNDLE	MAPPED_TO_P7
P5-X0136	TEST_CONTRACT	04:P5-V060	P5-T-C052-SHARED	P5-C052	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C052-SHARED	P7-SHARED-DOMAIN;P7-PUBLIC-RUNTIME	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0137	TEST_CONTRACT	04:P5-V061	P5-T-C053-PUBLIC	P5-C053	PUBLIC_ONLY	public adapter owns only the delta and calls shared interfaces	P5-T-C053-PUBLIC	P7-PUBLIC-RUNTIME;P7-PUBLIC-OPS	P6-VERIFY-PUBLIC_VARIANT	MAPPED_TO_P7
P5-X0138	TEST_CONTRACT	04:P5-V062	P5-T-C053-NOLOCAL	P5-C053	PUBLIC_ONLY	public-only source route API storage i18n bundle and package edges are unreachable from local build	P5-T-C053-NOLOCAL	P7-PUBLIC-RUNTIME;P7-PUBLIC-OPS	P6-VERIFY-LOCAL_NEGATIVE_BUNDLE	MAPPED_TO_P7
P5-X0139	TEST_CONTRACT	04:P5-V063	P5-T-C054-PUBLIC	P5-C054	PUBLIC_ONLY	public adapter owns only the delta and calls shared interfaces	P5-T-C054-PUBLIC	P7-PUBLIC-OPS	P6-VERIFY-PUBLIC_VARIANT	MAPPED_TO_P7
P5-X0140	TEST_CONTRACT	04:P5-V064	P5-T-C054-NOLOCAL	P5-C054	PUBLIC_ONLY	public-only source route API storage i18n bundle and package edges are unreachable from local build	P5-T-C054-NOLOCAL	P7-PUBLIC-OPS	P6-VERIFY-LOCAL_NEGATIVE_BUNDLE	MAPPED_TO_P7
P5-X0141	TEST_CONTRACT	04:P5-V065	P5-T-C055-PUBLIC	P5-C055	PUBLIC_ONLY	public adapter owns only the delta and calls shared interfaces	P5-T-C055-PUBLIC	P7-PUBLIC-RUNTIME;P7-PUBLIC-OPS	P6-VERIFY-PUBLIC_VARIANT	MAPPED_TO_P7
P5-X0142	TEST_CONTRACT	04:P5-V066	P5-T-C055-NOLOCAL	P5-C055	PUBLIC_ONLY	public-only source route API storage i18n bundle and package edges are unreachable from local build	P5-T-C055-NOLOCAL	P7-PUBLIC-RUNTIME;P7-PUBLIC-OPS	P6-VERIFY-LOCAL_NEGATIVE_BUNDLE	MAPPED_TO_P7
P5-X0143	TEST_CONTRACT	04:P5-V067	P5-T-C056-PUBLIC	P5-C056	PUBLIC_ONLY	public adapter owns only the delta and calls shared interfaces	P5-T-C056-PUBLIC	P7-PUBLIC-RUNTIME;P7-PUBLIC-PACKAGE	P6-VERIFY-PUBLIC_VARIANT	MAPPED_TO_P7
P5-X0144	TEST_CONTRACT	04:P5-V068	P5-T-C056-NOLOCAL	P5-C056	PUBLIC_ONLY	public-only source route API storage i18n bundle and package edges are unreachable from local build	P5-T-C056-NOLOCAL	P7-PUBLIC-RUNTIME;P7-PUBLIC-PACKAGE	P6-VERIFY-LOCAL_NEGATIVE_BUNDLE	MAPPED_TO_P7
P5-X0145	TEST_CONTRACT	04:P5-V069	P5-T-C057-PUBLIC	P5-C057	PUBLIC_ONLY	public runtime uses /var/lib/bcsp operational-only storage and its dependency link migration schema and tables contain zero personal domain definitions	P5-T-C057-PUBLIC	P7-PUBLIC-RUNTIME;P7-PUBLIC-OPS	P6-VERIFY-PUBLIC_VARIANT	MAPPED_TO_P7
P5-X0146	TEST_CONTRACT	04:P5-V070	P5-T-C057-NOLOCAL	P5-C057	PUBLIC_ONLY	public /var/lib/bcsp service path backup glue and operations ownership are absent from the Windows local build and archive	P5-T-C057-NOLOCAL	P7-PUBLIC-RUNTIME;P7-PUBLIC-OPS	P6-VERIFY-LOCAL_NEGATIVE_BUNDLE	MAPPED_TO_P7
P5-X0147	TEST_CONTRACT	04:P5-V071	P5-T-C058-PUBLIC	P5-C058	PUBLIC_ONLY	public adapter owns only the delta and calls shared interfaces	P5-T-C058-PUBLIC	P7-PUBLIC-OPS;P7-PUBLIC-PACKAGE	P6-VERIFY-PUBLIC_VARIANT	MAPPED_TO_P7
P5-X0148	TEST_CONTRACT	04:P5-V072	P5-T-C058-NOLOCAL	P5-C058	PUBLIC_ONLY	public-only source route API storage i18n bundle and package edges are unreachable from local build	P5-T-C058-NOLOCAL	P7-PUBLIC-OPS;P7-PUBLIC-PACKAGE	P6-VERIFY-LOCAL_NEGATIVE_BUNDLE	MAPPED_TO_P7
P5-X0149	TEST_CONTRACT	04:P5-V073	P5-T-C059-PUBLIC	P5-C059	PUBLIC_ONLY	public adapter owns only the delta and calls shared interfaces	P5-T-C059-PUBLIC	P7-PUBLIC-OPS;P7-PUBLIC-PACKAGE	P6-VERIFY-PUBLIC_VARIANT	MAPPED_TO_P7
P5-X0150	TEST_CONTRACT	04:P5-V074	P5-T-C059-NOLOCAL	P5-C059	PUBLIC_ONLY	public-only source route API storage i18n bundle and package edges are unreachable from local build	P5-T-C059-NOLOCAL	P7-PUBLIC-OPS;P7-PUBLIC-PACKAGE	P6-VERIFY-LOCAL_NEGATIVE_BUNDLE	MAPPED_TO_P7
P5-X0151	TEST_CONTRACT	04:P5-V075	P5-T-C060-PUBLIC	P5-C060	PUBLIC_ONLY	public adapter owns only the delta and calls shared interfaces	P5-T-C060-PUBLIC	P7-PUBLIC-OPS;P7-PUBLIC-PACKAGE	P6-VERIFY-PUBLIC_VARIANT	MAPPED_TO_P7
P5-X0152	TEST_CONTRACT	04:P5-V076	P5-T-C060-NOLOCAL	P5-C060	PUBLIC_ONLY	public-only source route API storage i18n bundle and package edges are unreachable from local build	P5-T-C060-NOLOCAL	P7-PUBLIC-OPS;P7-PUBLIC-PACKAGE	P6-VERIFY-LOCAL_NEGATIVE_BUNDLE	MAPPED_TO_P7
P5-X0153	TEST_CONTRACT	04:P5-V077	P5-T-C061-SHARED	P5-C061	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C061-SHARED	P7-SHARED-UI	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0154	TEST_CONTRACT	04:P5-V078	P5-T-C062-SHARED	P5-C062	SHARED	one shared implementation is linked by both entrypoints; no duplicated business module	P5-T-C062-SHARED	P7-SHARED-OPEN;P7-SHARED-UI	P6-VERIFY-SHARED_CONTRACT	MAPPED_TO_P7
P5-X0155	TEST_CONTRACT	04:P5-V079	P5-T-C063-PUBLIC	P5-C063	PUBLIC_ONLY	public adapter owns only the delta and calls shared interfaces	P5-T-C063-PUBLIC	P7-PUBLIC-RUNTIME	P6-VERIFY-PUBLIC_VARIANT	MAPPED_TO_P7
P5-X0156	TEST_CONTRACT	04:P5-V080	P5-T-C063-NOLOCAL	P5-C063	PUBLIC_ONLY	public-only source route API storage i18n bundle and package edges are unreachable from local build	P5-T-C063-NOLOCAL	P7-PUBLIC-RUNTIME	P6-VERIFY-LOCAL_NEGATIVE_BUNDLE	MAPPED_TO_P7
P5-X0157	TEST_CONTRACT	04:P5-V081	P5-T-C064-LOCAL	P5-C064	LOCAL_ONLY	Windows resolves package root from the running RBCSP.exe and every launch CWD maps to exactly data/rbcsp.sqlite with no path fallback	P5-T-C064-LOCAL	P7-LOCAL-PACKAGE;P7-PUBLIC-ZERO-SURFACE	P6-VERIFY-LOCAL_VARIANT	MAPPED_TO_P7
P5-X0158	TEST_CONTRACT	04:P5-V082	P5-T-C064-NOPUBLIC	P5-C064	LOCAL_ONLY	RBCSP.exe BAT launcher executable-root resolver and package-relative data path are unreachable from the public build and archive	P5-T-C064-NOPUBLIC	P7-LOCAL-PACKAGE;P7-PUBLIC-ZERO-SURFACE	P6-VERIFY-PUBLIC_NEGATIVE_BUNDLE	MAPPED_TO_P7
P5-X0159	TEST_CONTRACT	04:P5-V083	P5-T-C065-LOCAL	P5-C065	LOCAL_ONLY	local opens one physical data/rbcsp.sqlite while operational and LOCAL_ONLY personal table migration manifests remain disjoint and Reset stays inside personal ownership	P5-T-C065-LOCAL	P7-LOCAL-PERSISTENCE;P7-PUBLIC-ZERO-SURFACE	P6-VERIFY-LOCAL_VARIANT	MAPPED_TO_P7
P5-X0160	TEST_CONTRACT	04:P5-V084	P5-T-C065-NOPUBLIC	P5-C065	LOCAL_ONLY	personal repository migration registry table definitions schema snapshot symbols and package residue are all absent from the public product	P5-T-C065-NOPUBLIC	P7-LOCAL-PERSISTENCE;P7-PUBLIC-ZERO-SURFACE	P6-VERIFY-PUBLIC_NEGATIVE_BUNDLE	MAPPED_TO_P7
P5-X0161	TEST_CONTRACT	04:P5-V085	P5-T-C066-LOCAL	P5-C066	LOCAL_ONLY	local adapter owns only the delta and calls shared interfaces	P5-T-C066-LOCAL	P7-LOCAL-SAVED-VIEWS;P7-PUBLIC-ZERO-SURFACE	P6-VERIFY-LOCAL_VARIANT	MAPPED_TO_P7
P5-X0162	TEST_CONTRACT	04:P5-V086	P5-T-C066-NOPUBLIC	P5-C066	LOCAL_ONLY	local-only source route API storage i18n bundle and package edges are unreachable from public build	P5-T-C066-NOPUBLIC	P7-LOCAL-SAVED-VIEWS;P7-PUBLIC-ZERO-SURFACE	P6-VERIFY-PUBLIC_NEGATIVE_BUNDLE	MAPPED_TO_P7
P5-X0163	TEST_CONTRACT	04:P5-V087	P5-T-C067-LOCAL	P5-C067	LOCAL_ONLY	local adapter owns only the delta and calls shared interfaces	P5-T-C067-LOCAL	P7-LOCAL-PERSISTENCE;P7-PUBLIC-ZERO-SURFACE	P6-VERIFY-LOCAL_VARIANT	MAPPED_TO_P7
P5-X0164	TEST_CONTRACT	04:P5-V088	P5-T-C067-NOPUBLIC	P5-C067	LOCAL_ONLY	local-only source route API storage i18n bundle and package edges are unreachable from public build	P5-T-C067-NOPUBLIC	P7-LOCAL-PERSISTENCE;P7-PUBLIC-ZERO-SURFACE	P6-VERIFY-PUBLIC_NEGATIVE_BUNDLE	MAPPED_TO_P7
P5-X0165	TEST_CONTRACT	04:P5-V089	P5-T-C068-LOCAL	P5-C068	LOCAL_ONLY	local adapter owns only the delta and calls shared interfaces	P5-T-C068-LOCAL	P7-LOCAL-RESET;P7-PUBLIC-ZERO-SURFACE	P6-VERIFY-LOCAL_VARIANT	MAPPED_TO_P7
P5-X0166	TEST_CONTRACT	04:P5-V090	P5-T-C068-NOPUBLIC	P5-C068	LOCAL_ONLY	local-only source route API storage i18n bundle and package edges are unreachable from public build	P5-T-C068-NOPUBLIC	P7-LOCAL-RESET;P7-PUBLIC-ZERO-SURFACE	P6-VERIFY-PUBLIC_NEGATIVE_BUNDLE	MAPPED_TO_P7
P5-X0167	TEST_CONTRACT	04:P5-V091	P5-T-C069-LOCAL	P5-C069	LOCAL_ONLY	local adapter owns only the delta and calls shared interfaces	P5-T-C069-LOCAL	P7-LOCAL-RUNTIME;P7-PUBLIC-ZERO-SURFACE	P6-VERIFY-LOCAL_VARIANT	MAPPED_TO_P7
P5-X0168	TEST_CONTRACT	04:P5-V092	P5-T-C069-NOPUBLIC	P5-C069	LOCAL_ONLY	local-only source route API storage i18n bundle and package edges are unreachable from public build	P5-T-C069-NOPUBLIC	P7-LOCAL-RUNTIME;P7-PUBLIC-ZERO-SURFACE	P6-VERIFY-PUBLIC_NEGATIVE_BUNDLE	MAPPED_TO_P7
P5-X0169	TEST_CONTRACT	04:P5-V093	P5-T-C070-LOCAL	P5-C070	LOCAL_ONLY	local adapter owns only the delta and calls shared interfaces	P5-T-C070-LOCAL	P7-LOCAL-RUNTIME;P7-PUBLIC-ZERO-SURFACE	P6-VERIFY-LOCAL_VARIANT	MAPPED_TO_P7
P5-X0170	TEST_CONTRACT	04:P5-V094	P5-T-C070-NOPUBLIC	P5-C070	LOCAL_ONLY	local-only source route API storage i18n bundle and package edges are unreachable from public build	P5-T-C070-NOPUBLIC	P7-LOCAL-RUNTIME;P7-PUBLIC-ZERO-SURFACE	P6-VERIFY-PUBLIC_NEGATIVE_BUNDLE	MAPPED_TO_P7
P5-X0171	TEST_CONTRACT	04:P5-V095	P5-T-C071-LOCAL	P5-C071	LOCAL_ONLY	local adapter owns only the delta and calls shared interfaces	P5-T-C071-LOCAL	P7-LOCAL-RUNTIME;P7-PUBLIC-ZERO-SURFACE	P6-VERIFY-LOCAL_VARIANT	MAPPED_TO_P7
P5-X0172	TEST_CONTRACT	04:P5-V096	P5-T-C071-NOPUBLIC	P5-C071	LOCAL_ONLY	local-only source route API storage i18n bundle and package edges are unreachable from public build	P5-T-C071-NOPUBLIC	P7-LOCAL-RUNTIME;P7-PUBLIC-ZERO-SURFACE	P6-VERIFY-PUBLIC_NEGATIVE_BUNDLE	MAPPED_TO_P7
P5-X0173	TEST_CONTRACT	04:P5-V097	P5-T-C072-LOCAL	P5-C072	LOCAL_ONLY	Windows archive allowlist contains launcher code docs and migrations but zero DB SQLite WAL SHM seed or real Catalog Open data; first run creates storage	P5-T-C072-LOCAL	P7-LOCAL-PACKAGE;P7-PUBLIC-ZERO-SURFACE	P6-VERIFY-LOCAL_VARIANT	MAPPED_TO_P7
